"kaynak","kategori","kategori_adi","term","risk_turu","risk_puani","active","baglam_kurali","updated_at"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","ölüler ifadesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","ölüler sahnesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","ölüm tehdidi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","ölüm tehdidi anlatımı","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","ölüm tehdidi ifadesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","ölüm tehdidi sahnesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","panik","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","panik anlatımı","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","panik göndermesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","panik ifadesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","panik sahnesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","perili ev","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","perili ev anlatımı","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
