TOTAL 78
CRITICAL 75
HIGH 3

LINE   19 | CRITICAL | compare   | endpoint_or_url_literal             | value='PDF endpoint' | snippet='"PDF endpoint"'
LINE  923 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/tema-kazanim/analiz' | snippet="'/api/tema-kazanim/analiz'"
LINE  950 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/tema-kazanim/kaydet' | snippet="'/api/tema-kazanim/kaydet'"
LINE  962 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/theme-report/teacher-pdf' | snippet="'/api/theme-report/teacher-pdf'"
LINE  977 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/theme-report/teacher-pdf' | snippet='"/api/theme-report/teacher-pdf"'
LINE  981 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/theme-report/teacher-pdf' | snippet='"/api/theme-report/teacher-pdf"'
LINE  988 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/theme-report/teacher-pdf:reanalysis' | snippet='"/api/theme-report/teacher-pdf:reanalysis"'
LINE  991 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/theme-report/teacher-pdf:reanalysis' | snippet='"/api/theme-report/teacher-pdf:reanalysis"'
LINE  995 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/theme-report/teacher-pdf' | snippet='"/api/theme-report/teacher-pdf"'
LINE 1031 | CRITICAL | literal   | file_path_or_pdf                    | value='application/pdf' | snippet='"application/pdf"'
LINE 1048 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/tema-kazanim/rapor' | snippet="'/api/tema-kazanim/rapor'"
LINE 1053 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/tema-kazanim/rapor:start' | snippet='"/api/tema-kazanim/rapor:start"'
LINE 1059 | CRITICAL | call_arg  | file_path_or_pdf                    | value='/teacher-pdf' | snippet='"/teacher-pdf"'
LINE 1080 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/tema-kazanim/rapor:input' | snippet='"/api/tema-kazanim/rapor:input"'
